occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Sales Workers,ICT Sales Assistants,1776.5,569.2,572.5,1874.2
Sales Workers,Insurance Agents,1748.1,707.3,927.6,1562.5
Sales Workers,Models and Sales Demonstrators,1618,539.4,356,501.5
Sales Workers,Motor Vehicle and Vehicle Parts Salespersons,6680.1,3920,1053,1179.3
Sales Workers,Other Sales Assistants and Salespersons,2087.2,809.2,405.7,615.1
Sales Workers,Other Sales Support Workers,705.5,277.5,210.9,472.9
Sales Workers,Pharmacy Sales Assistants,3405.6,1625.1,655.7,1152.5
Sales Workers,Real Estate Sales Agents,9236.9,5770,5103.1,8091.2
Sales Workers,Retail and Wool Buyers,604.4,184.9,399.1,1097.4
Sales Workers,Retail Supervisors,5458.3,2088.9,1123.4,1813.8
Sales Workers,Sales Assistants (General),60255.4,17991.4,12128.6,22242.7
Sales Workers,"Sales Assistants and Salespersons, nfd",964.1,282.9,233.3,552.2
Sales Workers,Sales Representatives,14349.800000000001,6278.1,4795.5,10207.3
Sales Workers,"Sales Workers, nfd",305.1,125.6,87.2,192.4
Sales Workers,Service Station Attendants,1521.5,440.40000000000003,281.6,1038.7
Sales Workers,Street Vendors and Related Salespersons,857.4,381.7,245.2,720.8
Sales Workers,Telemarketers,998.7,360.6,242.6,535.3
Sales Workers,Ticket Salespersons,1908.8,771,873.8,1312.7
Sales Workers,Visual Merchandisers,758.2,264.8,566.2,511.6
Technicians and Trades Workers,Agricultural Technicians,147.6,135.5,90.7,314.9
Technicians and Trades Workers,Airconditioning and Refrigeration Mechanics,648,6209.4,387.9,199.5
Technicians and Trades Workers,Aircraft Maintenance Engineers,239.6,3725.5,810.3000000000001,469.3
Technicians and Trades Workers,Animal Attendants and Trainers,2289.7,1159.9,563.2,865.7
Technicians and Trades Workers,"Architectural, Building and Surveying Technicians",3621.2000000000003,9176.5,4780.6,5063.8
Technicians and Trades Workers,"Automotive and Engineering Trades Workers, nfd",171.4,1505.2,105.5,53.7
Technicians and Trades Workers,Automotive Electricians,119.10000000000001,2545.2,82.4,43.4
